SISTEMA,ZONA DE CARGA,CLAVE
SIN,VDM SUR,01OLI-230
SIN,VDM SUR,01PRO-85
SIN,VDM SUR,01PSR-85
SIN,VDM SUR,01PTH-85
SIN,VDM SUR,01RBS-85
SIN,VDM SUR,01RSL-230
SIN,VDM SUR,01SAF-85
SIN,VDM SUR,01SDI-85
SIN,VDM SUR,01SNG-230
SIN,VDM SUR,01SSO-85
SIN,VDM SUR,01TAX-230
SIN,VDM SUR,01TAX-85
SIN,VDM SUR,01TDK-230
SIN,VDM SUR,01TDV-85
SIN,VDM SUR,01TIA-230
SIN,VDM SUR,01TOL-85
SIN,VDM SUR,01TOP-230
SIN,VDM SUR,01TTC-230
SIN,VDM SUR,01TTO-85
SIN,VDM SUR,01VDT-85
SIN,VDM SUR,01XOC-230
SIN,VDM SUR,01ZAM-230
SIN,VDM SUR,01ZIC-85
SIN,No Aplica,06EAP-138
SIN,No Aplica,06LAA-138
SIN,No Aplica,06RRD-138
SIN,No Aplica,08BEL-115
SIN,No Aplica,09LBR-230
SIN,HUASTECA,06ABR-115
SIN,HUASTECA,06AXA-115
SIN,HUASTECA,06AZT-115
SIN,HUASTECA,06EBA-115
SIN,HUASTECA,06LBR-115
SIN,HUASTECA,06MAN-115
SIN,HUASTECA,06MGN-115
SIN,HUASTECA,06MSO-115
SIN,HUASTECA,06MUL-115
SIN,HUASTECA,06STO-115
SIN,HUASTECA,06VAL-115
SIN,HUASTECA,06VES-115
SIN,HUEJUTLA,06APX-115
SIN,HUEJUTLA,06PAN-115
SIN,MATAMOROS,06CEN-138
SIN,MATAMOROS,06CIM-138
SIN,MATAMOROS,06INV-138
SIN,MATAMOROS,06JAD-138
SIN,MATAMOROS,06LTO-138
SIN,MATAMOROS,06MTM-138
SIN,MATAMOROS,06OTE-138
SIN,MATAMOROS,06PTA-138
SIN,MATAMOROS,06SEN-138
SIN,MATAMOROS,06TCO-138
SIN,MATAMOROS,06VHE-138
SIN,MONCLOVA,06AEO-115
SIN,MONCLOVA,06AHM-400
SIN,MONCLOVA,06FRO-115
SIN,MONCLOVA,06GRA-115
SIN,MONCLOVA,06MON-115
SIN,MONCLOVA,06MON-230
SIN,MONCLOVA,06RGS-115
SIN,MONCLOVA,06TKS-115
SIN,MONCLOVA,06XOC-115
SIN,MONTEMORELOS,06ALN-115
SIN,MONTEMORELOS,06LAJ-115
SIN,MONTEMORELOS,06LDA-115
SIN,MONTEMORELOS,06LSN-115
SIN,MONTEMORELOS,06MSI-115
SIN,MONTEMORELOS,06MTN-115
SIN,MONTEMORELOS,06VDS-115
SIN,MONTERREY,06ACM-115
SIN,MONTERREY,06AME-115
SIN,MONTERREY,06APO-115
SIN,MONTERREY,06ARV-115
SIN,MONTERREY,06AUS-115
SIN,MONTERREY,06BER-115
SIN,MONTERREY,06BLH-115
SIN,MONTERREY,06CAT-115
SIN,MONTERREY,06CBO-115
SIN,MONTERREY,06CDT-115
SIN,MONTERREY,06CDU-400
SIN,MONTERREY,06CEL-115
SIN,MONTERREY,06CEM-115
SIN,MONTERREY,06CER-115
SIN,MONTERREY,06CFD-115
SIN,MONTERREY,06CIS-115
SIN,MONTERREY,06CMN-115
SIN,MONTERREY,06CNY-115
SIN,MONTERREY,06CYN-115
SIN,MONTERREY,06DNA-115
SIN,MONTERREY,06DON-115
SIN,MONTERREY,06DTL-115
SIN,MONTERREY,06ECN-115
SIN,MONTERREY,06EHN-230
SIN,MONTERREY,06ESC-115
SIN,MONTERREY,06ESC-400
SIN,MONTERREY,06EST-115
SIN,MONTERREY,06ETZ-115
SIN,MONTERREY,06FAI-400
SIN,MONTERREY,06FAR-115
SIN,MONTERREY,06FIG-115
SIN,MONTERREY,06FOM-115
SIN,MONTERREY,06FUG-115
SIN,MONTERREY,06FUN-115
SIN,MONTERREY,06GAC-115
SIN,MONTERREY,06GDL-115
SIN,MONTERREY,06GRS-115
SIN,MONTERREY,06HUI-115
SIN,MONTERREY,06HUI-230
SIN,MONTERREY,06HUO-400
SIN,MONTERREY,06HYM-400
SIN,MONTERREY,06JAN-115
SIN,MONTERREY,06JCC-115
SIN,MONTERREY,06JEP-115
SIN,MONTERREY,06JNO-115
SIN,MONTERREY,06JOR-115
SIN,MONTERREY,06JZO-115
SIN,MONTERREY,06KGP-115
SIN,MONTERREY,06KMG-115
SIN,MONTERREY,06KOH-115
SIN,MONTERREY,06KRF-115
SIN,MONTERREY,06LAF-115
SIN,MONTERREY,06LEC-115
SIN,MONTERREY,06LEO-115
SIN,MONTERREY,06LOL-115
SIN,MONTERREY,06LRR-115
SIN,MONTERREY,06MAV-115
SIN,MONTERREY,06MCO-115
SIN,MONTERREY,06MDU-115
SIN,MONTERREY,06MIO-115
SIN,MONTERREY,06MIT-115
SIN,MONTERREY,06MKL-115
SIN,MONTERREY,06MMQ-230
SIN,MONTERREY,06MOD-115
SIN,MONTERREY,06MPX-115
SIN,MONTERREY,06MSA-115
SIN,MONTERREY,06MTI-115
SIN,MONTERREY,06MTP-115
SIN,MONTERREY,06MTY-115
SIN,MONTERREY,06MUN-115
SIN,MONTERREY,06MZQ-115
SIN,MONTERREY,06NAS-115
SIN,MONTERREY,06NEK-115
SIN,MONTERREY,06NIC-115
SIN,MONTERREY,06NOG-115
SIN,MONTERREY,06NUE-115
SIN,MONTERREY,06OBI-115
SIN,MONTERREY,06ORN-115
SIN,MONTERREY,06PAX-115
SIN,MONTERREY,06PBS-115
SIN,MONTERREY,06PCD-230
SIN,MONTERREY,06PEM-115
